Sample	input_raw_reads	fastp	bowtie2
SRR8101048	12294924	11651394	11510230
SRR8101049	14691678	13783344	13702484
SRR8101050	16955642	16120240	15959812
SRR8101051	12380776	11618308	11242138
SRR8101052	16641028	15806464	13430536
SRR8101053	19274104	17675996	17272896
SRR8101054	12478134	11905552	8208500
SRR8101055	12345992	11652246	10448840
SRR8101056	9357194	8843122	8679706
SRR8101057	13599156	12982642	12345862
SRR8101058	12483844	11784148	11591838
SRR8101059	12931598	12287556	11965296
SRR8101060	17222782	14836854	14413406
SRR8101061	13581112	12847212	12565274
SRR8101062	13299254	12633332	12282396
SRR8101063	14308524	13693590	10806552
SRR8101064	13684642	12993006	12832108
SRR8101065	15135872	14243760	14173080
SRR8101066	16097484	15451276	14849646
SRR1747018	102592172	95811048	95558196
SRR1747019	28114942	26489604	26466952
SRR1747020	31672328	30017898	29994730
SRR1747021	93603428	87852508	87671320
SRR1747022	44121846	41171458	41155894
SRR1747023	19312138	18171618	18161048
SRR1747024	42219504	38789878	38770304
SRR1747025	26341908	24620212	24547260
SRR1747026	18700512	17512268	17453472
SRR1747027	18575926	17418174	17407912
SRR1747028	44443290	41749966	41713114
SRR1747029	23444664	22132542	22056248
SRR1747030	20791800	19482392	19474254
SRR1747031	11062828	10488072	10478746
SRR1747032	15482468	14395680	14391324
SRR1747033	19154596	18001212	17995364
SRR1747034	18107544	17080508	16506352
SRR1747035	16115812	15141868	15127754
SRR1747036	14073044	13234054	13224236
SRR1747037	11772348	10887810	10883102
SRR1747038	14032800	13072552	12709906
SRR1747039	10802450	10144538	9885142
SRR1747040	18346742	17364734	17188770
SRR1747041	16923214	16009944	15970828
SRR1747042	9846174	9108142	9103014
SRR1747043	15596134	14542654	14535260
SRR1747044	14158252	13268530	13249884
SRR1747045	15123116	14290440	13632226
SRR1747046	12770382	12044318	12003332
SRR1747047	33385510	31537372	31298460
SRR1747048	23216000	21782182	21759188
SRR1747049	20395254	18971412	18892076
SRR1747050	22947816	21585228	21330484
SRR1747051	17380670	16285212	16163908
SRR1747052	24387800	22939046	22847010
SRR1747053	17515398	16357712	16300674
SRR1747054	21278968	19968026	19589246
SRR1747055	19801308	18626124	18396934
SRR1747056	23474088	21815660	21581044
SRR1747057	19420314	18000086	17988104
SRR1747058	19099234	17505216	17488742
SRR1747059	30422228	28644142	28630488
SRR1747060	9130724	8601948	8599376
SRR1747061	80198826	74526178	72213380
SRR1747062	61221836	56989662	56970194
SRR1747063	16825482	15685068	15678062
SRR1747064	14048622	13166686	13130512
SRR1747065	156225536	145601446	145575602
SRR17221322	127148104	123346634	122977982
SRR17221323	131889836	127690808	127303694
SRR17221324	151432222	147288990	144623934
SRR17221325	147094564	142989560	139852038
SRR17221326	146763288	142258842	141230288
SRR17221327	130377270	126465212	125338270
SRR17221328	195851498	187134520	184359112
SRR17221329	150803970	142575248	142327106
SRR17221330	126937338	123176072	122991128
SRR17221331	173449944	166073540	165832762
SRR17221332	147717778	142051614	141905806
SRR17221333	142631516	138304702	137046734
SRR17221334	141385312	138097094	137937848
SRR17221335	141975830	131696936	131444714
SRR17221336	139313690	134710808	134458788
SRR17221337	164202812	157610652	157216636
SRR17221338	130264044	126647238	126477794
SRR17221339	128258472	124768698	123256888
SRR17221340	133940550	130007758	128344228
SRR17221341	139094076	135418620	135047308
SRR17221342	145958880	141717474	141476094
SRR17221343	126918918	123032456	121361722
SRR17221344	146262306	141746602	133989908
SRR17221345	151275894	146966642	146577258
CRR587595	195826820	192818380	192731342
CRR587596	200808178	197745020	197214326
CRR587597	200985748	198240036	198171290
CRR587598	169516698	165689846	165557786
CRR587599	182504020	179568942	179554738
CRR587600	216210528	212585932	212551046
CRR587601	185627080	182703856	182527036
CRR587602	202512492	199064406	198974172
CRR587603	181659828	178549106	177943860
CRR587604	170446730	166339042	166177514
CRR587605	186791468	182199610	182186686
CRR587606	196360526	193064396	193002622
CRR587607	191377112	186398774	186203764
CRR587608	171957424	167189126	167095434
CRR587609	175355978	170845898	170823990
CRR587610	218479668	214853582	214687898
CRR587611	173089210	168632254	168623556
CRR587612	174065354	169775202	169682436
CRR587613	175649616	171338732	171305396
CRR587614	183819584	180813898	180756758
CRR587615	204952760	201498012	201482840
CRR587616	203605312	201025520	200936066
CRR587617	200871550	197497460	197446076
CRR587618	206961684	203469900	203399324
CRR587619	163859122	160291660	160255932
CRR587620	164425562	160841006	160813812
CRR587621	172841256	168555782	168484300
CRR587622	240401772	236317868	236159322
CRR587623	185138728	182100258	182013854
CRR587624	168849448	166661162	166637282
CRR587625	180234832	175560894	175484746
CRR587626	171024130	166428552	166293532
CRR587627	174608064	169726162	169690352
CRR587628	171733258	167048876	166994378
CRR587629	163471898	161391160	161373748
CRR587631	175089044	169934404	169912934
CRR587632	180080206	177864132	177815858
CRR587633	118820604	117550230	117534986
CRR587635	202457534	199857214	199808446
CRR587636	170582754	166192586	166181786
CRR587637	184228068	179486896	179444090
CRR587638	169018830	165086096	165039906
CRR587639	196848928	193770098	193718634
CRR587640	166970496	162972256	162938002
CRR587641	206985118	203541652	203454558
CRR587642	189247478	186065228	185277400
CRR587643	194396402	191941218	191412346
CRR587644	191222578	188632798	187372338
CRR587645	195841564	192426192	191181214
CRR587646	193901926	188964338	187942866
CRR587647	182642116	179648258	179408166
CRR587648	191805272	188620136	188303892
CRR587649	172081666	167590286	167438874
CRR587650	181182420	177385932	177016282
CRR587652	222891722	219052246	218151278
CRR587653	174739244	170200928	165046346
CRR587654	203860874	201017602	200876236
CRR587655	172712980	170535094	170508296
CRR587656	146038730	142892976	142316718
CRR587657	181528868	179233280	178310252
CRR587658	201493960	198872748	198789022
CRR587659	108897954	106164408	105902394
CRR587660	177373870	172514194	172342812
CRR587661	193450200	190876694	190840890
CRR587662	179883550	177368306	175712316
CRR587663	173603142	168219802	168169130
CRR587664	166778604	162975450	162953940
CRR587665	181171588	178713090	178607094
CRR587666	203335790	200578962	200557244
CRR587667	207276922	204389538	204129740
CRR587668	180615390	178392844	178369130
CRR587669	193210028	190766476	190131196
CRR587670	170900616	166267260	166058178
CRR587671	211973626	209150266	208188666
CRR587672	174213748	169755310	169710538
CRR587673	172093760	167445844	167377132
CRR587674	181786924	179547082	179509782
CRR587675	173106196	169644550	169598438
CRR587676	183220548	180879172	180781620
CRR587677	173794926	169307884	169229190
CRR587678	170928870	165989396	165607074
CRR587679	204678440	201346660	200419854
CRR587680	226928598	223805022	223741388
CRR587681	217078588	210958216	210725990
CRR587682	206218430	200782332	200754516
CRR587683	174310674	169496202	169407170
CRR587684	186608586	182040554	182005204
CRR587685	171481702	167274790	167262932
CRR587686	173093656	168923874	168791236
CRR587687	174783530	169884868	169770942
CRR587688	202154650	197180532	196921768
CRR587689	205586602	202111352	202095862
CRR587690	190680154	187483328	187357386
CRR587691	174680384	170487754	170418688
CRR587692	195247214	192037492	192024864
CRR587693	172975040	168162820	168150180
CRR587694	209380720	203550620	203198288
CRR587695	216256360	209871486	209433946
CRR587696	214748926	210130380	210019182
CRR587697	195196114	189214088	189156976
CRR587698	200157008	194482022	194083012
CRR587699	235530064	228454468	228006096
CRR587700	229200144	222720316	222492808
CRR587701	215194800	209538960	209415550
CRR587702	212013630	207110258	206935918
CRR587703	213234720	207587064	207363890
CRR587704	201620222	197128708	196837776
CRR587705	202504280	198473020	198145428
CRR587706	211989160	206923354	206549996
CRR587707	214456148	209631492	209533352
CRR587708	198054286	193389898	193178548
CRR587709	203903380	199235846	199085962
CRR587710	187051844	182216414	181938168
CRR587711	213372470	208350240	208268516
CRR587713	200215622	195763214	195745964
CRR587714	227010414	221870186	221796662
CRR587715	216865174	212093422	211454876
CRR587716	214339378	209312546	208718692
CRR587717	220884694	216505136	215646138
CRR587718	205816568	201688812	201549512
CRR587719	202208466	197775688	196919310
CRR587720	240269346	235584326	234798028
CRR587721	235720756	230213776	229330940
CRR587722	194410270	189887700	188879970
CRR587723	192490814	188212824	187654470
CRR587724	218714624	213489820	210303806
CRR587725	228943832	223956040	223838884
CRR587726	221709762	216658818	214742214
CRR587727	207589566	203767268	203450182
CRR587728	201955840	197662854	196786034
CRR587729	214932202	210199696	198198712
CRR587730	241417728	235438886	231157790
CRR587731	188552500	184741504	179643572
SRR5451791	29915948	29767492	29727920
SRR5451792	22400694	22262940	18542350
SRR5451801	41917631	41700627	40364103
SRR5451802	35859759	35664929	35558320
SRR5451803	29391386	29236520	29157194
SRR5451804	33636539	33462335	33129438
SRR5451805	25404400	25270099	25212065
SRR5451806	31401406	31229372	31152641
SRR5451807	24854152	24738650	23820982
SRR5451808	18753494	18640284	18256951
SRR5451809	20971433	20908017	20788571
SRR5452015	32409103	32251066	32194411
SRR5452016	11900158	11830005	11809203
SRR5452017	19492666	19380216	19345860
SRR5452018	24114883	23978512	23952619
SRR5452019	26748789	26583617	26012044
SRR5452020	40191156	39983833	39837720
SRR5452021	29937192	29797240	29767612
SRR5452022	30638591	30483158	30441874
X141_Red_cheeked_Gibbon	2862222	2666664	2666172
