	domain	phylum	class	order	family	genus	species
SGB1965	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella intestinihominis
SGB4283	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E bromii_A
SGB1798	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella clara
SGB2296	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes senegalensis
SGB9208	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__UBA1829	g__UBA1829	s__UBA1829 sp900548385
SGB20763	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	unclassified__g__Onthomonas
SGB3996	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Fimisoma	s__Fimisoma sp000435715
SGB6362	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp000431335
SGB2325	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A indistinctus
SGB14954	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-382	g__Woodwardibium	s__Woodwardibium sp900760275
SGB2290	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes communis
SGB4594	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter sp900541505
SGB20736	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unclassified__g__Faecalibacterium
SGB14042	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UMGS621	s__UMGS621 sp900543915
SGB2328	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A ihumii
SGB14317	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__UBA1685	s__UBA1685 sp002320595
SGB14021	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-552	g__UBA10677	s__UBA10677 sp900760475
SGB15471	d__Bacteria	p__Desulfobacterota_I	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio porci
SGB1815	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola dorei
SGB6494	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__UBA660	g__CAG-1000	s__CAG-1000 sp900768345
SGB44527	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RGIG1955	s__RGIG1955 sp017400345
SGB97147	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus
SGB2295	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes shahii
SGB9344	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__MGBC133411	s__MGBC133411 sp900540425
SGB1785	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__Butyricimonas paravirosa
SGB37973	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Mesosutterella	s__Mesosutterella sp902797695
SGB14890	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Hydrogeniiclostridium	s__Hydrogeniiclostridium mannosilyticum
SGB14260	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__QAKW01	g__RGIG9041	s__RGIG9041 sp017937065
SGB1836	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis
SGB30598	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Saezia	s__Saezia sanguinis
SGB4936	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia hominis
SGB6571	d__Bacteria	p__Firmicutes	c__Bacilli	o__ML615J-28	f__CAG-313	g__CAG-313	s__CAG-313 sp000433035
SGB20085	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	unclassified__g__Prevotella
SGB20588	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-314	g__Fimimonas	unclassified__g__Fimimonas
SGB9226	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila
