sample_name	individual_id	study_code	run_accession	sample_accession	project_accession	instrument_model	DNA_extraction_kit	country	country_location	continent	host_lifestyle	host_specie	host_NCBI_taxid	host_specie_common_name	primate_group	primate_NCBI_taxonomy	host_state	host_age_group_extra	host_sex	time_point	time_difference_days	season	host_age	host_specie_primary_diet
ERR2144933	AmatoKR2019_AC668	AmatoKR2019	ERR2144933	SAMEA104306265	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Argentina	Corrientes	America	Wild	Alouatta caraya	9502	black howler monkey	Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Alouatta;s_Alouatta caraya								Herbivore(Folivore)
ERR2144936	AmatoKR2019_APAL38	AmatoKR2019	ERR2144936	SAMEA104306278	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Nicaragua	Ometepe Island	America	Wild	Alouatta palliata	30589	mantled howler monkey	Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Alouatta;s_Alouatta palliata								Herbivore(Folivore)
ERR2144939	AmatoKR2019_APF104	AmatoKR2019	ERR2144939	SAMEA104306281	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Mexico	Palenque National Park	America	Wild	Alouatta pigra	182253		Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Alouatta;s_Alouatta pigra								Herbivore(Folivore, Frugivore)
ERR2144945	AmatoKR2019_APF39	AmatoKR2019	ERR2144945	SAMEA104324997	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Mexico	Palenque National Park	America	Wild	Alouatta pigra	182253		Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Alouatta;s_Alouatta pigra								Herbivore(Folivore, Frugivore)
ERR2144946	AmatoKR2019_Ahyb1000	AmatoKR2019	ERR2144946	SAMEA104306293	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Colombia	San Juan de Carare	America	Wild	Ateles hybridus	129801	brown spider monkey	Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Ateles;s_Ateles hybridus								Herbivore(Frugivore)
ERR2144950	AmatoKR2019_Ahyb411	AmatoKR2019	ERR2144950	SAMEA104306295	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Colombia	San Juan de Carare	America	Wild	Ateles hybridus	129801	brown spider monkey	Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Ateles;s_Ateles hybridus								Herbivore(Frugivore)
ERR2144956	AmatoKR2019_AsenLink2	AmatoKR2019	ERR2144956	SAMEA104306310	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Ecuador	Yasuni Biosphere Reserve	America	Wild	Alouatta seniculus	9503	howler monkey;red howler monkey	Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Alouatta;s_Alouatta seniculus								Herbivore(Folivore)
ERR2144962	AmatoKR2019_AtbelzLink4	AmatoKR2019	ERR2144962	SAMEA104306317	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Ecuador	Yasuni Biosphere Reserve	America	Wild	Ateles belzebuth	9507	white-bellied spider monkey;long-haired spider monkey	Simiformes-New World Monkeys	o_Primates;f_Atelidae;g_Ateles;s_Ateles belzebuth								Herbivore(Frugivore)
ERR2144966	AmatoKR2019_BWC2061	AmatoKR2019	ERR2144966	SAMEA104306321	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Uganda	Kibale National Park	Africa	Wild	Colobus guereza	33548	mantled guereza;eastern black-and -white colobus;guereza	Simiformes-Old World Monkeys-Colobines	o_Primates;f_Cercopithecidae;g_Colobus;s_Colobus guereza								Herbivore(Folivore)
ERR2144967	AmatoKR2019_BWC2063	AmatoKR2019	ERR2144967	SAMEA104306322	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Uganda	Kibale National Park	Africa	Wild	Colobus guereza	33548	mantled guereza;eastern black-and -white colobus;guereza	Simiformes-Old World Monkeys-Colobines	o_Primates;f_Cercopithecidae;g_Colobus;s_Colobus guereza								Herbivore(Folivore)
ERR2144968	AmatoKR2019_BWC2115	AmatoKR2019	ERR2144968	SAMEA104306323	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Uganda	Kibale National Park	Africa	Wild	Colobus guereza	33548	mantled guereza;eastern black-and -white colobus;guereza	Simiformes-Old World Monkeys-Colobines	o_Primates;f_Cercopithecidae;g_Colobus;s_Colobus guereza								Herbivore(Folivore)
ERR2144970	AmatoKR2019_ERUB.105M	AmatoKR2019	ERR2144970	SAMEA104306327	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Madagascar	Ranomafana National Park	Africa	Wild	Eulemur rubriventer	34829	red-bellied lemur	Prosimian-Lemuriformes	o_Primates;f_Lemuridae;g_Eulemur;s_Eulemur rubriventer								Herbivore(Folivore, Frugivore)
ERR2144971	AmatoKR2019_ERUB.10M	AmatoKR2019	ERR2144971	SAMEA104325001	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Madagascar	Ranomafana National Park	Africa	Wild	Eulemur rubriventer	34829	red-bellied lemur	Prosimian-Lemuriformes	o_Primates;f_Lemuridae;g_Eulemur;s_Eulemur rubriventer								Herbivore(Folivore, Frugivore)
ERR2144972	AmatoKR2019_ERUB.12M	AmatoKR2019	ERR2144972	SAMEA104306329	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Madagascar	Ranomafana National Park	Africa	Wild	Eulemur rubriventer	34829	red-bellied lemur	Prosimian-Lemuriformes	o_Primates;f_Lemuridae;g_Eulemur;s_Eulemur rubriventer								Herbivore(Folivore, Frugivore)
ERR2144978	AmatoKR2019_Gor3	AmatoKR2019	ERR2144978	SAMEA104306343	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Central African Republic	Dzanga-Sangha Protected Areas	Africa	Wild	Gorilla gorilla	9593	western gorilla;gorilla	Simiformes-Great Apes	o_Primates;f_Hominidae;g_Gorilla;s_Gorilla gorilla								Herbivore(Folivore)
ERR2144984	AmatoKR2019_JB17	AmatoKR2019	ERR2144984	SAMEA104306354	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Ethiopia	Savannah	Africa	Wild	Papio hamadryas	9557	hamadryas baboon;baboon;red baboon;sacred baboon;western baboon	Simiformes-Old World Monkeys-Cercopithecines	o_Primates;f_Cercopithecidae;g_Papio;s_Papio hamadryas								Omnivore
ERR2144986	AmatoKR2019_JB24	AmatoKR2019	ERR2144986	SAMEA104306357	PRJEB22679	Illumina HiSeq 2500	PowerSoil	Ethiopia	Savannah	Africa	Wild	Papio anubis	9555	olive baboon;Doguera baboon;Kenya baboon;baboon	Simiformes-Old World Monkeys-Cercopithecines	o_Primates;f_Cercopithecidae;g_Papio;s_Papio anubis								Omnivore
